supercategory,therapeutic_area,sub_ta,disease,tam,score,soc_summary,unmet_need,pipeline_highlights,prevalence,cause,presentation,treatment
Cardiometabolic,Cardiovascular Disorders,Arrhythmias,ARVC,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Arrhythmias,Lamin A/C cardiomyopathies,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Arrhythmias,Long QT,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Arrhythmias,HCM arrhythmias,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Arrhythmias,AF,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Arrhythmias,AF and WPW syndrome,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Arteriosclerosis,Atherosclerosis,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Cardiomyopathy,HCM,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Coronary artery,ACS,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Coronary artery,AMI,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Coronary artery,Microvascular angina,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Coronary artery,Angina,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Aorta/branches,Aortic aneurysms,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Aorta/branches,Abdominal aortic aneurysms,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Endocarditis,Infective endocarditis,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Heart Failure,Chronic HF,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Heart Failure,Pulmonary edema,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Heart Failure,Acute HF,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Heart Failure,Right HF and cor pulmonale,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Hypertension,Hypertension,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Peri/myocarditis,Pericarditis,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Peri/myocarditis,Myocarditis,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Peripheral arteries,PAD,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Valves,Aortic stenosis,,,,,,,,,
Cardiometabolic,Cardiovascular Disorders,Valves,Aortic regurgitation,,,,,,,,,
Cardiometabolic,Endocrinology,Adrenal,Primary Aldosteronism,,,,,,,,,
Cardiometabolic,Endocrinology,Adrenal,Cushing,,,,,,,,,
Cardiometabolic,Endocrinology,Diabetes,T1D,,,,,,,,,
Cardiometabolic,Endocrinology,Diabetes,Long-term diabetes complications,,,,,,,,,
Cardiometabolic,Endocrinology,Diabetes,T2D,,,,,,,,,
Cardiometabolic,Endocrinology,Lipids,Dyslipidemia,,,,,,,,,
Cardiometabolic,Endocrinology,Metabolic,Obesity,,,,,,,,,
Cardiometabolic,Endocrinology,Metabolic,Metabolic Syndrome,,,,,,,,,
Cardiometabolic,Endocrinology,PTH/calcium,Hypoparathyroidism,,,,,,,,,
Cardiometabolic,Endocrinology,Pituitary,Gigantism and Acromegaly,,,,,,,,,
Cardiometabolic,Endocrinology,Thyroid,Thyroid Cancers,,,,,,,,,
Cardiometabolic,Endocrinology,Thyroid,Hyperthyroidism,,,,,,,,,
Cardiometabolic,Endocrinology,Thyroid,Hashimoto Thyroiditis,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Biliary,Tumors of the Gallbladder and Bile Ducts,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Biliary,Primary Biliary Cholangitis (PBC),,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Chronic liver,Hepatic Fibrosis,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Chronic liver,Alcohol-Related Liver Disease,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Chronic liver,MASLD,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Chronic liver,Chronic Hepatitis,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Chronic liver,Cirrhosis,,,,,,,,,
Cardiometabolic,Hepatic and Biliary Disorders,Liver complications,Ascites,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Allergic,Food allergy,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Allergic,Anaphylaxis,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Angioedema/complement,Hereditary/acquired C1-INH deficiency/dysfunction,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Angioedema/complement,Angioedema,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Autoimmune,Autoimmune,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Primary immunodeficiency,CGD,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Primary immunodeficiency,CVID,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Primary immunodeficiency,SCID,,,,,,,,,
Immune/Inflammatory,Allergy and Immunology,Primary immunodeficiency,X-linked agammaglobulinemia,,,,,,,,,
Immune/Inflammatory,Dermatology,Acne/related,Hidradenitis Suppurativa (HS),,,,,,,,,
Immune/Inflammatory,Dermatology,Bullous,Epidermolysis Bullosa,,,,,,,,,
Immune/Inflammatory,Dermatology,Bullous,Bullous Pemphigoid,,,,,,,,,
Immune/Inflammatory,Dermatology,Dermatitis,Eczema,,,,,,,,,
Immune/Inflammatory,Dermatology,Hair,Alopecia Areata,,,,,,,,,
Immune/Inflammatory,Dermatology,Hair,Alopecia,,,,,,,,,
Immune/Inflammatory,Dermatology,Pigmentation,Vitiligo,,,,,,,,,
Immune/Inflammatory,Dermatology,Psoriasis,Psoriasis,,,,,,,,,
Immune/Inflammatory,Dermatology,Viral skin,Molluscum Contagiosum,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,Acute/surgical,Acute Abdominal Pain,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,Esophagus/swallowing,EoE,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,Esophagus/swallowing,GERD,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,Gastroenteritis,Norovirus,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,IBD,Crohn's Disease,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,IBD,Ulcerative Colitis,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,Malabsorption,Short Bowel Syndrome,,,,,,,,,
Immune/Inflammatory,Gastrointestinal Disorders,Malabsorption,Celiac Disease,,,,,,,,,
Immune/Inflammatory,Pulmonology,Interstitial lung,PAP/IPF,,,,,,,,,
Immune/Inflammatory,Pulmonology,Obstructive lung,AATD,,,,,,,,,
Immune/Inflammatory,Pulmonology,Obstructive lung,COPD,,,,,,,,,
Immune/Inflammatory,Pulmonology,Obstructive lung,Asthma,,,,,,,,,
Immune/Inflammatory,Pulmonology,Obstructive lung,Bronchiectasis,,,,,,,,,
Immune/Inflammatory,Pulmonology,Infections,Pneumonia,,,,,,,,,
Immune/Inflammatory,Pulmonology,Airway,Cough,,,,,,,,,
Immune/Inflammatory,Pulmonology,Vascular,Pulmonary Hypertension,,,,,,,,,
Immune/Inflammatory,Pulmonology,Sleep-related,OSA,,,,,,,,,
Immune/Inflammatory,Rheumatology,Crystal arthropathy,Gout,,,,,,,,,
Immune/Inflammatory,Rheumatology,IgG4,IgG4-RD,,,,,,,,,
Immune/Inflammatory,Rheumatology,Inflammatory arthritis,RA,,,,,,,,,
Immune/Inflammatory,Rheumatology,Inflammatory arthritis,PsA,,,,,,,,,
Immune/Inflammatory,Rheumatology,Inflammatory arthritis,AS,,,,,,,,,
Immune/Inflammatory,Rheumatology,Inflammatory arthritis,Seronegative spondyloarthropathies,,,,,,,,,
Immune/Inflammatory,Rheumatology,Systemic rheumatic,SLE,,,,,,,,,
Immune/Inflammatory,Rheumatology,Systemic rheumatic,IIM,,,,,,,,,
Immune/Inflammatory,Rheumatology,Systemic rheumatic,SSc,,,,,,,,,
Immune/Inflammatory,Rheumatology,Vasculitis,PMR,,,,,,,,,
Immune/Inflammatory,Rheumatology,Vasculitis,GCA,,,,,,,,,
Immune/Inflammatory,Rheumatology,Vasculitis,GPA,,,,,,,,,
Immune/Inflammatory,Rheumatology,Vasculitis,Takayasu arteritis,,,,,,,,,
High-Value Specialty,Hematology,Anemia,AIHA,,,,,,,,,
High-Value Specialty,Hematology,Anemia,CKD anemia,,,,,,,,,
High-Value Specialty,Hematology,Anemia,Microangiopathic Hemolytic Anemia,,,,,,,,,
High-Value Specialty,Hematology,Coagulation,Hemophilia,,,,,,,,,
High-Value Specialty,Hematology,Coagulation,HHT,,,,,,,,,
High-Value Specialty,Hematology,Coagulation,Excessive Bleeding,,,,,,,,,
High-Value Specialty,Hematology,Coagulation,vWD,,,,,,,,,
High-Value Specialty,Hematology,Hemoglobinopathies,SCD,,,,,,,,,
High-Value Specialty,Hematology,Hemoglobinopathies,Thalassemias,,,,,,,,,
High-Value Specialty,Hematology,Hemoglobinopathies,HbE disease,,,,,,,,,
High-Value Specialty,Hematology,Complement,PNH,,,,,,,,,
High-Value Specialty,Hematology,Plasma cell,Amyloidosis,,,,,,,,,
High-Value Specialty,Hematology,Platelet,ITP,,,,,,,,,
High-Value Specialty,Hematology,Platelet,Inherited Platelet Function Disorders,,,,,,,,,
High-Value Specialty,Hematology,WBC,Neutropenia,,,,,,,,,
High-Value Specialty,Oncology,Bone/joint,Primary Malignant Bone Tumors,,,,,,,,,
High-Value Specialty,Oncology,Bone/joint,Metastatic Bone Tumors,,,,,,,,,
High-Value Specialty,Oncology,Brain/spine,Gliomas,,,,,,,,,
High-Value Specialty,Oncology,Brain/spine,Astrocytomas,,,,,,,,,
High-Value Specialty,Oncology,Brain/spine,CNS Tumors in Children,,,,,,,,,
High-Value Specialty,Oncology,Brain/spine,Medulloblastomas,,,,,,,,,
High-Value Specialty,Oncology,Breast,Breast Cancer,,,,,,,,,
High-Value Specialty,Oncology,Complications,Cachexia in Cancer,,,,,,,,,
High-Value Specialty,Oncology,GI tract,Pancreatic Cancer,,,,,,,,,
High-Value Specialty,Oncology,GI tract,CRC,,,,,,,,,
High-Value Specialty,Oncology,GI tract,Stomach Cancer,,,,,,,,,
High-Value Specialty,Oncology,GI tract,Esophageal Cancer,,,,,,,,,
High-Value Specialty,Oncology,GI tract,GIST,,,,,,,,,
High-Value Specialty,Oncology,GI/pancreatic NETs,GI NETs and Carcinoid Syndrome,,,,,,,,,
High-Value Specialty,Oncology,GU,RCC,,,,,,,,,
High-Value Specialty,Oncology,GU,Bladder Cancer,,,,,,,,,
High-Value Specialty,Oncology,GU,Prostate Cancer,,,,,,,,,
High-Value Specialty,Oncology,Gynecologic,Endometrial Cancer,,,,,,,,,
High-Value Specialty,Oncology,Gynecologic,Ovarian Cancer,,,,,,,,,
High-Value Specialty,Oncology,Gynecologic,Cervical Cancer,,,,,,,,,
High-Value Specialty,Oncology,Head/neck,Oral Squamous Cell Carcinoma,,,,,,,,,
High-Value Specialty,Oncology,Head/neck,Oropharyngeal Squamous Cell Carcinoma,,,,,,,,,
High-Value Specialty,Oncology,Leukemias,AML,,,,,,,,,
High-Value Specialty,Oncology,Leukemias,ALL,,,,,,,,,
High-Value Specialty,Oncology,Leukemias,MDS,,,,,,,,,
High-Value Specialty,Oncology,Leukemias,CLL,,,,,,,,,
High-Value Specialty,Oncology,Leukemias,CML,,,,,,,,,
High-Value Specialty,Oncology,Liver,Metastatic Liver Cancer,,,,,,,,,
High-Value Specialty,Oncology,Liver,HCC,,,,,,,,,
High-Value Specialty,Oncology,Liver,Other Primary Liver Cancers,,,,,,,,,
